camera,person_a,person_b,timestamp,duration_seconds
ROOM,satyabrata,satyabrata,2026-08-07 12:31:09,9.80
ROOM,sarisht,shinjan,2026-08-07 12:31:26,0.28
ROOM,shinjan,Unknown-CAM4-9,2026-08-07 12:31:27,0.00
ROOM,sarisht,satyabrata,2026-08-07 12:31:27,1.95
ROOM,shinjan,Unknown-CAM4-9,2026-08-07 12:31:32,0.00
ROOM,shinjan,Unknown-CAM4-26,2026-08-07 12:31:36,0.78
ROOM,sarisht,shrayan,2026-08-07 12:31:41,0.19
ROOM,Om,sarisht,2026-08-07 12:31:42,0.00
ROOM,sarisht,Unknown-CAM4-9,2026-08-07 12:31:42,0.00
ROOM,sarisht,Unknown-CAM4-9,2026-08-07 12:31:43,0.00
ROOM,shinjan,shinjan,2026-08-07 12:31:41,0.41
ROOM,Om,sarisht,2026-08-07 12:31:42,1.00
ROOM,sarisht,shinjan,2026-08-07 12:31:43,0.00
ROOM,Om,sarisht,2026-08-07 12:31:43,0.00
ROOM,shrayan,Unknown-CAM1-40,2026-08-07 12:31:43,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,shrayan,Unknown-CAM1-40,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,Om,sarisht,2026-08-07 12:31:44,0.00
ROOM,sarisht,shinjan,2026-08-07 12:31:45,0.00
ROOM,Om,sarisht,2026-08-07 12:31:45,0.00
ROOM,sarisht,shinjan,2026-08-07 12:31:45,0.00
ROOM,Om,sarisht,2026-08-07 12:31:45,0.00
ROOM,Om,sarisht,2026-08-07 12:31:45,0.00
ROOM,satyabrata,Unknown-CAM2-35,2026-08-07 12:31:45,0.00
ROOM,shrayan,shrayan,2026-08-07 12:31:45,0.13
ROOM,Om,sarisht,2026-08-07 12:31:45,0.00
ROOM,shinjan,shinjan,2026-08-07 12:31:43,2.47
ROOM,satyabrata,satyabrata,2026-08-07 12:31:45,0.59
ROOM,sarisht,sarisht,2026-08-07 12:31:44,0.18
ROOM,sarisht,sarisht,2026-08-07 12:31:44,1.85
ROOM,shrayan,shrayan,2026-08-07 12:31:45,0.00
ROOM,shrayan,shrayan,2026-08-07 12:31:46,1.04
ROOM,sarisht,sarisht,2026-08-07 12:31:47,0.27
ROOM,sarisht,Unknown-CAM1-43,2026-08-07 12:31:47,0.00
ROOM,sarisht,sarisht,2026-08-07 12:31:47,0.00
ROOM,sarisht,Unknown-CAM4-44,2026-08-07 12:31:50,0.00
ROOM,shinjan,shinjan,2026-08-07 12:31:46,4.68
ROOM,Om,Unknown-CAM3-48,2026-08-07 12:31:54,0.00
ROOM,sarisht,Unknown-CAM4-47,2026-08-07 12:31:54,0.00
ROOM,shinjan,shinjan,2026-08-07 12:31:56,0.06
ROOM,sarisht,Unknown-CAM4-47,2026-08-07 12:31:55,0.18
ROOM,shrayan,shrayan,2026-08-07 12:31:48,9.40
ROOM,sarisht,satyabrata,2026-08-07 12:31:56,1.92
ROOM,sarisht,Unknown-CAM1-43,2026-08-07 12:31:59,0.00
ROOM,shinjan,shinjan,2026-08-07 12:31:56,1.02
ROOM,sarisht,satyabrata,2026-08-07 12:31:58,1.06
ROOM,sarisht,Unknown-CAM1-43,2026-08-07 12:31:59,0.09
ROOM,sarisht,Unknown-CAM4-54,2026-08-07 12:32:00,0.00
ROOM,Om,Unknown-CAM3-53,2026-08-07 12:31:59,0.55
ROOM,sarisht,Unknown-CAM4-54,2026-08-07 12:32:00,0.37
ROOM,Om,sarisht,2026-08-07 12:32:00,0.52
ROOM,Om,Unknown-CAM3-57,2026-08-07 12:32:03,0.00
ROOM,sarisht,Unknown-CAM4-54,2026-08-07 12:32:01,0.00
ROOM,Om,Unknown-CAM3-57,2026-08-07 12:32:03,0.18
ROOM,sarisht,Unknown-CAM1-58,2026-08-07 12:32:04,0.16
ROOM,sarisht,Unknown-CAM3-57,2026-08-07 12:32:03,0.83
ROOM,sarisht,Unknown-CAM4-56,2026-08-07 12:32:02,0.77
ROOM,shrayan,Unknown-CAM1-58,2026-08-07 12:32:04,0.63
ROOM,shrayan,shrayan,2026-08-07 12:31:58,4.99
ROOM,Om,Unknown-CAM3-57,2026-08-07 12:32:04,0.39
ROOM,sarisht,Unknown-CAM1-58,2026-08-07 12:32:04,0.45
ROOM,Om,shinjan,2026-08-07 12:32:09,0.00
ROOM,shinjan,shinjan,2026-08-07 12:32:07,0.84
ROOM,satyabrata,shrayan,2026-08-07 12:32:11,0.00
ROOM,shinjan,shinjan,2026-08-07 12:32:08,0.61
ROOM,Om,shinjan,2026-08-07 12:32:11,0.54
ROOM,satyabrata,shrayan,2026-08-07 12:32:11,0.17
ROOM,Om,shrayan,2026-08-07 12:32:11,0.46
ROOM,Om,shinjan,2026-08-07 12:32:11,0.23
ROOM,satyabrata,shrayan,2026-08-07 12:32:12,0.14
ROOM,Om,sarisht,2026-08-07 12:32:12,0.14
ROOM,Om,shrayan,2026-08-07 12:32:12,0.34
ROOM,satyabrata,shrayan,2026-08-07 12:32:12,0.00
ROOM,Om,shrayan,2026-08-07 12:32:12,0.00
ROOM,Om,sarisht,2026-08-07 12:32:12,0.22
ROOM,Om,shinjan,2026-08-07 12:32:12,0.00
ROOM,Om,shrayan,2026-08-07 12:32:12,0.19
ROOM,Om,sarisht,2026-08-07 12:32:13,0.05
