event,camera,person_a,person_b,started_at,event_at,duration_seconds,normalized_distance,method
STARTED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:25.288+00:00,10.370,0.6791,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:25.749+00:00,10.831,0.6652,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:26.184+00:00,11.266,0.6532,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:27.497+00:00,12.579,0.6460,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:28.095+00:00,13.177,0.6518,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:28.613+00:00,13.695,0.6586,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:29.063+00:00,14.145,0.6572,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:29.530+00:00,14.612,0.6550,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:30.909+00:00,15.991,0.6051,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:31.402+00:00,16.484,0.5838,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:31.866+00:00,16.948,0.6141,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:32.299+00:00,17.381,0.6060,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:32.858+00:00,17.940,0.6006,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:34.275+00:00,19.357,0.6068,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:34.755+00:00,19.837,0.6041,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:35.206+00:00,20.288,0.5978,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:35.672+00:00,20.754,0.5898,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:36.128+00:00,21.210,0.6007,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:37.559+00:00,22.641,0.6357,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:38.000+00:00,23.082,0.6731,sustained_proximity_estimate
