event,camera,person_a,person_b,started_at,event_at,duration_seconds,normalized_distance,method
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:38.456+00:00,23.538,0.6926,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:38.900+00:00,23.982,0.7160,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:39.353+00:00,24.435,0.7334,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:40.818+00:00,25.900,0.7452,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:41.327+00:00,26.409,0.7454,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:41.797+00:00,26.879,0.7263,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:42.273+00:00,27.355,0.7407,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:42.731+00:00,27.813,0.7640,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:44.137+00:00,29.219,0.7493,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:44.597+00:00,29.679,0.7654,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:45.036+00:00,30.118,0.7672,sustained_proximity_estimate
UPDATED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:45.465+00:00,30.547,0.8054,sustained_proximity_estimate
ENDED,NDI: DESKTOP-57MKT49 (sarisht_per) [Q4],b20659d6-0ffd-4647-bd8e-b9140be6c652,fa242f51-7926-4d32-a969-a637204ef32f,2026-07-23T06:21:14.918+00:00,2026-07-23T06:21:45.465+00:00,30.547,0.8054,sustained_proximity_estimate
